Producto,Cantidad,Unidad de medida,Tipo de lista de materiales,Componente,Cantidad de componente,Unidad de medida del componente
,,,,⚠️ CREAR EN ODOO: PROBETAINE,30.0,g
,,,,[MPP20056] POLYSORBATE 20,20.0,g
,,,,[MPAKO095] KOJIC ACID,10.0,g
,,,,[MPXAG126] XANTHAN GUM,10.0,g
,,,,[MPCAR084] CARBOMER,5.0,g
,,,,[MPASA094] SALICYLIC ACID,5.0,g
,,,,[MPP80057] POLYSORBATE 80,5.0,g
,,,,[MPALA063] LACTIC ACID,3.0,g
,,,,[MPPSO013] POTASSIUM SORBATE,3.0,g
,,,,[MPSBE101] SODIUM BENZOATE,3.0,g
,,,,[MPBEG102] BETA-GLUCAN,3.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,1.0,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,0.5,g
[MAXLASH] MAXLASH,1000,g,Fabricar este producto,[MPAQ001] AQUA,868.275,g
,,,,[MPCAF082] CAFFEINE,10.0,g
,,,,[MPBET103] BETAINE,3.0,g
,,,,[MPGLN090] GLYCINE,1.0,g
,,,,[MPPRO015] PROLINE,1.0,g
,,,,[MPLAR155] L-ARGININA,0.5,g
,,,,[MPNAC011] N-ACETYL CISTEINE,0.1,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,3.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,0.625,g
,,,,[MPAT3275] ACETYL TETRAPEPTIDE-3,0.25,g
,,,,[MPA40272] Acetyl Tetrapeptide-40 (,0.063,g
,,,,[MPBT1285] BIOTYNOIL TRIPEPTIDO-1,0.625,g
,,,,[MPHKE152] HYDROLIZED KERATIN,0.625,g
,,,,[MPHCO104] HYDROLYZED COLLAGEN,0.625,g
,,,,[MPCTP273] COPPER TRIPEPTIDO,0.5,g
,,,,[MPPRG256] PROPYLENE GLYCOL,30.0,g
,,,,[MPHEX046] HEXANEDIOL,5.0,g
,,,,[MPM17283] MYRISTOYL PENTAPEPTIDE-17,0.5,g
,,,,[MPM16286] MYRISTOYL HEXAPEPTIDO-16,0.25,g
,,,,[MPP38276] PALMITOYL TRIPEPTIDO-38,0.05,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPSAP118] SODIUM ASCORBYL PHOSPHATE,5.0,g
,,,,[MPPAT131] PANTENOL POLVO,2.0,g
,,,,⚠️ CREAR EN ODOO: SODIUM TOCOPHERYL PHOSPHATE,1.0,g
,,,,[MPPEG027] BM-939 PEG-12 DIMETHICONE,5.0,g
,,,,[MPRCE014] RED CLOVER EXTRACT,0.01,g
,,,,[MPEDT008] EDTA DISODICO,0.5,g
,,,,[MPERG150] ERGOTHIONEINA,0.5,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
[RECN] RECN,1000,g,Fabricar este producto,[MPAQ001] AQUA,798.7,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPEAA112] 3-O-ETHYL ASCORBIC ACID,40.0,g
,,,,[MPSAP118] SODIUM ASCORBYL PHOSPHATE,35.0,g
,,,,[MPTTA119] TETRAHEXYLDECYL ASCORBATE,20.0,g
,,,,⚠️ CREAR EN ODOO: QUINCREAM,12.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPAGL003] ASCORBIL GLUCOSIDE,5.0,g
,,,,[MPGLC087] GLYCINAMIDE,3.0,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,3.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,2.0,g
,,,,[MPSQU054] SQUALENE,0.5,g
,,,,[MPPAT131] PANTENOL POLVO,0.5,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.5,g
,,,,[MPBAK284] BAKUCHIOL,0.3,g
,,,,[MPAH8267] ACETYL HEXAPEPTIDO-8,0.1,g
,,,,[MPPRG256] PROPYLENE GLYCOL,5.0,g
,,,,[MPGLE263] GLYCERIN,5.0,g
,,,,[MPCCT077] CAPRYLIC/CAPRIC TRIGLYCERIDE,6.0,g
,,,,⚠️ CREAR EN ODOO: DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,3.0,g
