Producto,Proveedor,Precio,Moneda,Cantidad minima,Plazo de entrega
[MPTTA119] TETRAHEXYLDECYL ASCORBATE,Lyphar,1503600,COP,1,30
[MPTGTT] TINOGARD TT,Agenquimicos,182227,COP,1,30
BEMOTRIZINOL,Lyphar,462000,COP,1,30
[MPAAZ096] AZELAIC ACID,Lyphar,361200,COP,1,30
[MPTEA070] TRIETHANOLAMINE,Agenquimicos,32162,COP,1,30
[MPUPA136] UNDECYLENOYL PHENYL ALANINE,Lyphar,1386000,COP,1,30
[MPURE017] UREA,Agenquimicos,271067,COP,1,30
[MPVCE189] VANILLA CO2 EXTRACT,Lyphar,243600,COP,1,30
[MPTOC059] TOCOPHEROL,Agenquimicos,191667,COP,1,30
[MPTOC059] TOCOPHEROL,Agenquimicos,221667,COP,1,30
[MPCJP202] CITRUS JUNOS PEEL OIL,Lyphar,189000,COP,1,30
ZANTHOXYLUM BUNGEANUM FRUIT EXTRACT,Lyphar,189000,COP,1,30
